Short description,Description,Caller,Assignment group
unable to save excel document,unable to save excel document,imoelsap gxdwkimv,GRP_0
unable to sync some files in collaboration_platform,unable to sync some files in collaboration_platform,xpzsygkb vbualmpr,GRP_0
ticket update on inplant_867667,ticket update on inplant_867667,fumkcsji sarmtlhy,GRP_0
ticket update on inplant_867672,ticket update on inplant_867672,fumkcsji sarmtlhy,GRP_0
unable to log in to engineering tool,unable to log in to engineering tool,ajdcnwtb bvijwxko,GRP_0
blue screen on start up,blue screen on start up,qwijaspo ukynmfig,GRP_3
unable to sign in to skype meeting,unable to sign in to skype meeting,kijgcwlh gfejlcvb,GRP_0
outlook not opening up: stuck on loading screen,outlook not opening up: stuck on loading screen,vitpjxgm zxiqkrns,GRP_0
vpn issue,"telephone:
summary:i cannot get vpn to connect on my computer.",lfikjasz tjbqcmvl,GRP_0
engineering_tool and infopath issue,sqlcuhep railgnfb called in for an issue where he was unable to launch engineering_tool and unable to fill up a discount form.,sqlcuhep railgnfb,GRP_0
unable to view mails more than 3 days,unable to view mails more than 3 days,owlgqjme qhcozdfx,GRP_0
jabra headset issue,"i needed a hand setting up jabra pro headset for skype calls. i have installed drivers, just not sure what else needs to be done.
contact # :",uazkjifp dhtnevcq,GRP_0
unlock account  email  in cell phone the user vhjkdqop tkhafgrc id:sanchrtyn,"hello team,

could you please unlock account  email  in cell phone the user vhjkdqop tkhafgrc id: sanchrtyn ?",qasdhyzm yuglsrwx,GRP_0
qhjkxoyw lgiovknd called as he wanted to speak to tiyhum kuyiomar,qhjkxoyw lgiovknd called as he wanted to speak to tiyhum kuyiomar,rbozivdq gmlhrtvp,GRP_0
unable to log in to supply_chain_software,unable to log in to supply_chain_software,tgewaniq yepifgbl,GRP_0
call from vythytalyst : uploading group of contacts to crm,"call from vythytalyst : uploading group of contacts to crm issue
contact # : 
while synchronizing contacts from outlook to crm 
1> its not synchronizing complete list of contacts.
2>its moving those contacts from outlook and keeping in crm",gxiytpjh yibsguwk,GRP_40
need this fixed,"received from: oetlgbfw.bsctrnwp@gmail.com

i don't have access to below



prerequisites:

you must have the infopath filler client to complete and submit the lra form.  please contact the gsc and open a remedy ticket for the pc support group if you do not have the infopath filler client.

to determine if you have the infopath filler client, click on the start button and choose all programdntys.

click on microsoft office group, you should see the microsoft infopath filler client:


dthyan matheywtyuews
sales manager gl2
oetlgbfw.bsctrnwp@gmail.com<mailto:oetlgbfw.bsctrnwp@gmail.com>",oetlgbfw bsctrnwp,GRP_0
unable to open engineering_tool application,unable to open engineering_tool application,tgewaniq yepifgbl,GRP_0
engineering tool issue,engineering tool issue,mwebfhdz csndrxgi,GRP_0
business_client : .net error message,business_client : .net error message,kjeqxayu bpwkdazl,GRP_0
unable to enter mileage details. site not loading.,unable to enter mileage details,rqtmpjdb ohitelsg,GRP_0
ticketing_tool issue - cannot seem to create a new subtask from the ticketing_tool console.,ticketing_tool issue - cannot seem to create a new subtask from the ticketing_tool console. the area to create a new sub-task  seems to be missing.  we were asked to create separate tasks for server decommissioning and neither me nor ron mcgee can seem to create a sub-task on a ticket any more.,slzhuipc sqntcber,GRP_0
client is having issues with excel crashing,client is having issues with excel crashing,etvendormhd xpslzunb,GRP_3
hpqc uacyltoe hxgaycze installation,"summary:i need help downloading a uacyltoe hxgaycze application, can someone take over my screen and help me out?",hajworze jqpisura,GRP_0
subbathykrisyuhnyrt shhuivashankar company provided phone activation,subbathykrisyuhnyrt shhuivashankar company provided phone activation,olckhmvx pcqobjnd,GRP_0
ticket update on inplant_867618,ticket update on inplant_867618,fumkcsji sarmtlhy,GRP_0
unable to access easyterritory map view builder,unable to access easyterritory map view builder,itslpwra vybdkuoa,GRP_22
crm : voucher - email resend issue,"when attempting to email a voucher following the standard procedure, i enter the email address and press ""send email"" and the page goes completely blank.  i then need to resign onto SID_39, and the email has not been sent.

please review and correct aerp.",pfzxecbo ptygkvzl,GRP_15
erp SID_34 account unlock,erp SID_34 account unlock,wvqgbdhm fwchqjor,GRP_0
password geoyhurg chriuimjiann,"Received from: nsoikcyf.jhybqael@gmail.com

please turn my passwords free.
plase Unlook my password
chrithysgd



best with friendly greetings /",nsoikcyf jhybqael,GRP_0
external recipient is unable to share screen with internal company employees during pstn conference call,"external recipient is unable to share screen with internal company employees during pstn conference call

error message: all company users saw a message that read something like ""presentation failed since the presenter has left the meeting"" even though he was still in the meeting. we agreed to end the meeting once and re-join but the issue didn't go away.",dqgjxhrt kydnpacx,GRP_26
account unlock,account unlock,zidcxslw clyfdaki,GRP_0
general query,general query,zfliqpxm dgfvaqlh,GRP_0
job bkbackup_tool_HostName_770_prod_inc failed in job_scheduler at: 10/07/2016 11:48:00,"received from: monitoring_tool@company.com

job bkbackup_tool_HostName_770_prod_inc failed in job_scheduler at: 10/07/2016 11:48:00",bpctwhsn kzqsbmtp,GRP_8
need converion tool : export a pdf into excel.,"summary:hello,
i saw on pdf options that it's possible to export a pdf into excel.
do you know who can i contact in company to get this conversion tool?",gxuvbcpr libcktnm,GRP_33
browser issue : etime: flash player issue/addin issue,browser issue : etime: flash player issue/addin issue,tjlgzkbp iervwjzg,GRP_0
unable to sign in to skype,unable to sign in to skype,vupmctne ylnsweao,GRP_0
erp changing order qty issue,"please look at sale order 36112082 csr zektaqof cgxlqtiz released order from workflow and the qty went from 1pc to 12,047,279pcs showing csr changed the qty csr did not change qty please review possible issue maybe wf batch issue",zektaqof cgxlqtiz,GRP_13
uacyltoe hxgaycze,uacyltoe hxgaycze,xweclugf qmhbjsyi,GRP_12
ticket update inplant_867508,ticket update inplant_867508,olckhmvx pcqobjnd,GRP_0
excel keeps exiting,excel keeps exiting,qpkbiwzl urypnjvq,GRP_0
unable to update mileage details. site not loading.,unable to update mileage details. site not loading.,eqwaiphc qxwfeuth,GRP_0
erp SID_1 password reset,erp SID_1 password reset,wvqgbdhm fwchqjor,GRP_0
skype meetings,"received from: dlougnqw.jiuybxew@gmail.com

good morning,

can you please assist me with getting the skype meetings back up and running for me?  it came up before but i no longer have the option.",dlougnqw jiuybxew,GRP_0
skype issue ; personal certificate error,skype issue ; personal certificate error,yaxrnmsz bultagqx,GRP_0
pos data update - september 2016,"from: navdgtya kuhyakose 
sent: friday, october 07, 2016 7:37 pm
to: htsnaodb adjtmlzn
cc: petgvwch zevpkogu; khfgharla mwdjuli; vthuzanc fqdgotvx; rzucjgvp ioqjgmah; nawkpdtx gwcvmbhn
subject: pos - septemer '16

hi karghyuen,

i have compared the pos data between crm and bi for september '16 and the data are in sync.
i will run the programdnty on 10/10 to update the table zcp002.

crm                                           bi 
count of mandt sum of toengineering_tool  sum of counter sum of total distributor cost
                     225 82,043.48                             225       82,043.48",htsnaodb adjtmlzn,GRP_15
unable to access vpn,unable to access vpn,cziadygo veiosxby,GRP_0
hr_tool etime issue,hr_tool etime issue,zywoxerf paqxtrfk,GRP_0
error : windows 7 build 7601 this copy of windows is not genuine.,"error : windows 7 build 7601 this copy of windows is not genuine.
for next 2 weeks he will be in usa. 
contact :",dcxjngaf zquoewhp,GRP_3
audio issue in skype,audio issue in skype,ytqambip bovfzich,GRP_0
please allow access for using printer in india office.,"please allow access for using printer in india office.

please refer the attachment",sanoibgk zpuawcbl,GRP_19
please to provide access to solman environment - user vvamrtryot.,"please to provide access to solman environment, solman SID_51 (production)  for the user vvamrtryot.
he need this access to open requests  for theses charms 8111118319  and 8111118310.",gdsjrxwl pzhyxdiq,GRP_2
engineering_tool installation,engineering_tool installation,mcphgvnb bdegqtyj,GRP_0
outlook not opening,outlook not opening,hugcadrn ixhlwdgt,GRP_0
blank call // loud noise // gso,blank call // loud noise // gso,rbozivdq gmlhrtvp,GRP_0
erp SID_34 account unlock,erp SID_34 account unlock,itylnjqw kqiurhbt,GRP_0
unable to see workflow in erp SID_34,unable to see workflow in erp SID_34,obvjhlsa jxnlwspq,GRP_13
instructions for password_management_tool,instructions for password_management_tool,zgirlxwp kmeaylhi,GRP_0
can't access to hr_tool etime,"received from: zywoxerf.paqxtrfk@gmail.com

dear help desk:
i can't access to hr_tool etime, see below:

error 500!

the page you are trying to reach is not available. an internal server error was raised.


x.  jdamieul  fandyhgg

senior staff engineer
zywoxerf.paqxtrfk@gmail.com",zywoxerf paqxtrfk,GRP_0
wifi not working : webpages not loading,wifi not working : webpages not loading,udetjzmn ayueswcm,GRP_0
delay in presenting the cal on the polycom phone,"when a call comes in, its first presented on the computer screen and only a few sec later the phone starts ringing.
the time between is around 5 sec.",atlwdyej vtlhzbix,GRP_7
user's manager's manager pointing wrongly to vtykrubi whsipqno,"examples given: shesyhur reports to davidthd and davidthd should be reporting to chukhyt and not ron. like wise, managing_director should be reporting. 
this only happened to records being updated today. see attached screenshots.",cfzsajbe lyejkdho,GRP_40
call from vendor about crm,call from vendor about crm,rbozivdq gmlhrtvp,GRP_0
uacyltoe hxgaycze,uacyltoe hxgaycze,rxoluzhy pnutohms,GRP_36
hand scanner to pc evhw8114202 without function -> rep. or replace;,hand scanner to pc evhw8114202 without function -> rep. or replacing (pc in Hall C at R208 erp terminal),ljxzyriq zqxkrcev,GRP_33
"i can't get logged into outlook.  the problem started thursday, october 6 around 430 pm.  reichlhdyl","usa
skype is working.",xkmvpaei fizqoprk,GRP_0
erp access issue - not authorized for transaction vf02 in SID_1,"system (SID_34, SID_37, SID_39, SID_38, hrp, other ?): SID_1

enter user id of user having the issue: hellej

transaction code(s) the user needs or was working with: vf02

describe the issue: i'm not authorized for transaction vf02 in SID_1. please find attached the error message.

if you are getting a ""not authorized"" message, recreate the condition then do   /nsu53   and attach result to the ticketing_tool ticket.

provide access the same as this other user: maryhtutina bauuyternfeyt",pkjhmfgc zuvjqgwa,GRP_2
please reset the password.,please reset the password.,toeibhlp gukqjwnr,GRP_7
job Job_488 failed in job_scheduler at: 10/07/2016 06:59:00,"received from: monitoring_tool@company.com

job Job_488 failed in job_scheduler at: 10/07/2016 06:59:00",bpctwhsn kzqsbmtp,GRP_8
pc defekt,empw 8111616 01/14 defekt. code: 0x000000ed blue screen,vpnraqfk pgocqjbu,GRP_33
crm buttons,"i have recently upgraded our calendar / outlook to the crm software upgrade. i do not have the ""track"" and ""set regarding"" toolbar selections as seen in the snap shot below. so the install did not complete. i need the server side synchronization of incoming emails corrected and the crm application permissions for my 2in1. if that is not correct and you believe it to be another issue let me know. 




this is not a phone issue. thus is a notebook or 2in1 issue. please review the snap shots i sent in and advise.",ktcvsagx vftapxuc,GRP_22
"network outage:russia, engineering_toolkuznetsk site is down at 6:41 am et on 10/07.","what type of outage:  __x___network     _____circuit     _____power (please specify what type of outage)

1. top 23 cert site   ?    _____no____     (yes/no/na) 

2. when did it start  ?   ___________6:41 am et on 10/07. __________

3.  scheduled maintenance ( power) ? __no_____    (yes/no/na)     company power  _________     provider power _________
                
4.  scheduled maintenance ( network) ? __no_____    (yes/no/na)     company maint________ (yes/no)       provider maint/ticket #__________________    

5. does site have a backup circuit ?  ___na___    (yes/no/na) 

6. backup circuit active ?   _______na_     (yes/no/na) 

7. site contact notified (phone/email) ?  _________     (yes/no/na) 

8. remote dial-in ?   ___na________   (yes/no/na) 

9. equipment reset ?    ____na_______    (yes/no/na) 

10. verified site working on backup circuit ?  _____na__     (yes/no/na) 

11. vendor ticket  # ( global_telecom_1, verizon, telecom_vendor_1, telecom_vendor_2 )    _________________________       

12. notified  gsc  ________     (yes/no/na)    cert started  ?________    (yes/no/na) 

13.  additional diagnostics",bozdftwx smylqejw,GRP_8
job Job_2049a failed in job_scheduler at: 10/07/2016 06:05:00,"received from: monitoring_tool@company.com

job Job_2049a failed in job_scheduler at: 10/07/2016 06:05:00",bpctwhsn kzqsbmtp,GRP_6
install drucker we17\ewew8323647\hnyeajrw ctxjsolz,install drucker we17\ewew8323647\hnyeajrw ctxjsolz,hnyeajrw ctxjsolz,GRP_24
install drucker we17\ewew8323646\lxfnwyuv bqmjyprz,install drucker we17\ewew8323646\lxfnwyuv bqmjyprz,lxfnwyuv bqmjyprz,GRP_24
printing language sa38 (reporting rfumsv00),"please complete all required questions below.  
if not, it will be returned back to the gsc / requester to provide required information

 •  gsc to review ticket, if not able to resolve then please assign to appropriate group per your printer problem assignment flowchart.

   •  printer name / make - model? kq02 (hp laserjet p3005x)
 
   •  detailed description of the problem ? wrong carahcters printing reporting rfumsv00. error message ""pjl enter language=pcl""

   •  type of documents not printing?  sa38 - reporting rfumsv00 - tax on sls/purch.advanced return 

   •  what system or application being used at time of the problem?     erp

   •  if not printing at all, does it respond to a ping command on the network and has a power cycle of the printer been completed? it prints, but with wrong language (characters)

   •  if erp system, which system?  SID_34
      •  if it's an erp printer problem can the erp output be rerouted to another erp printer temporarily? no, i tried in another erp printer, issue persits the same.
         what printer can it be rerouted too? not applicable

   •  if document is not printing correctly, please scan copy of the document and attach to the ticketing_tool ticket. (file attached)

sónia pereira
accounting and report analyst, finance
ojhiaubp.lovgirtm@gmail.com",ojhiaubp lovgirtm,GRP_33
